Country Name,Country Code,Time,Time Code,CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
Afghanistan,AFG,2019,YR2019,0.0742030060048053,7.18039716624779,..,..,..,..,..,..,..,..,..,..,3.21377992630005,63.565,83.1124205721626,2079.92186098824,584.386882896106,0.123804203772499,0.932833388709597,..,..,2.30237251516844,-8082,10,59.9,..,..,2.90852909268743,..,..
Albania,ALB,2019,YR2019,0.11743693675728,2.26174791010144,11.3469839128285,..,59.7784996032715,95.0865936279297,11.47,26.98,23.0125955147467,8.65282267424126,..,..,3.91665005683899,79.282,24.672046977961,13653.2267690592,4543.38652018643,7.7979181413124,2.52389372255597,..,76.2791946200238,1.41109078954248,-8889,8,9.4,30.1,..,-0.426007367032238,23937,6.27583333333333
Algeria,DZA,2019,YR2019,0.330914644931275,1.21530387918325,18.3424679838475,..,52.6199417114258,..,..,..,44.6918398065115,38.3114764125832,..,..,6.10035991668701,76.474,47.8584188063625,11627.2799177398,4153.00481594021,0.804110686575591,-0.840856657898996,..,51.8075701263808,1.95176821052894,-36386,2,23.5,..,..,1.83944488568624,..,8
American Samoa,ASM,2019,YR2019,..,0,..,..,..,..,..,..,..,..,..,..,..,..,44.4473342002601,..,13288.3565565116,..,1.83171396600592,..,156.568778979907,..,-1650,..,..,..,..,-2.30413869890523,..,..
Andorra,AND,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,3.15060997009277,..,18.8607983808302,..,39413.6344732996,..,0.238296569502523,..,..,..,1238,..,3,..,..,1.75749125736997,566,..
Angola,AGO,2019,YR2019,0.113251504661648,..,8.59885628389892,..,10.6302900314331,..,16.5,31.2,17.7122552404386,41.4642272287016,..,..,1.92745995521545,62.448,87.3595650046694,6602.42365714554,2569.69134652945,-5.91333338289549,-4.01491707909747,..,57.8295381183036,17.0797044074954,58986,1,75,..,..,3.39527779197097,..,19.295367205655
Antigua and Barbuda,ATG,2019,YR2019,0.233367551706834,3.25674553418769,15.0912881830592,..,..,..,..,..,41.8800769916205,35.859880957084,..,..,2.83134007453918,78.691,27.2352950147164,23035.6579820039,17697.2311549703,7.59990881788372,4.30330178928556,..,139.410164737487,1.43135598182989,0,5,6.6,..,..,0.534443400511753,..,8.61132908333333
Argentina,ARG,2019,YR2019,0.162609246437814,5.15582342098159,16.4432415862976,..,95.4479064941406,108.230842590332,9.84,25.86,14.2100303992191,17.4291721090617,..,..,4.72417020797729,77.284,37.1386864488841,22071.7480998394,12716.2242038544,1.48500712244788,-2.96956249866219,8.79801998437065,32.6306150458499,..,4478,2,8.6,42.9,..,0.993397493293046,..,67.2541666666667
Armenia,ARM,2019,YR2019,0.146586312971446,2.58810044595098,12.5645600985114,..,51.4875297546387,86.4723281860352,12.2,24.83,17.4085294108567,3.99597800615583,..,..,2.56185007095337,75.439,30.0044689190088,14317.5528692827,4561.96786576599,0.736361472397063,8.20864949959488,..,96.1141541288708,1.44344660770702,-25363,6,11.8,30,..,-0.564065542556681,25093,12.1419889531682
Aruba,ABW,2019,YR2019,..,..,21.9682157929625,..,..,..,..,..,21.2625923648867,22.3008583335823,..,..,..,76.248,26.1428512185344,40780.5165685541,31762.7340256358,-2.2329238620065,0.181215791943856,..,145.01077410891,4.25746204335428,412,..,..,..,..,0.451969658863314,..,5.7
Australia,AUS,2019,YR2019,0.29385038772884,0.887322993851443,20.2605243055502,..,115.952041625977,140.646041870117,5.16,11.74,23.3022177494962,25.7785702653789,..,..,5.13531017303467,82.9,28.5648624358384,49379.093333787,58870.0216937531,2.79835639813249,0.665151144847243,106.850217413528,45.8267257025408,1.61076787290379,235860,11,3.8,..,..,1.48520844681971,..,5.101
